Year	Headline	Link	Intro	Page
2020	迄今为止最大、最详细的脑细胞及其连接体图谱发布	https://nei.st/medium/economist/fly-atlas	神经科学：果蝇脑图谱​​​	2
2020	民生救急	https://nei.st/medium/caixin/cw898j	国内国际双重冲击，民生全面承压。救民生，救需求，刻不容缓	2
2020	就业冲击何解	https://nei.st/medium/caixin/cw898h	短期经济承压在预料之中，急务是托底困难人群，稳住小微企业	3
2020	用工大户各寻出路	https://nei.st/medium/caixin/cw898i	人力密集的旅游、家政、餐饮业，以及依赖外部订单的外贸行业，面对疫情各自调整	3
2020	从大后方发来的战报	https://nei.st/medium/economist/schumpeter/a-dispatch-from-the-home-front	从联合利华老板的书房看封锁的世界​​​	3
2020	大流行病与国家：创造新冠全景监控	https://nei.st/medium/economist/creating-the-coronopticon	通过应用和数据网络监控可以有效阻止新冠肺炎的传播，但代价几何？	3
2020	贸易悬空	https://nei.st/medium/caixin/cw899c	全球贸易遭遇新冠病毒剧烈冲击，作为「世界工厂」和最大新兴消费市场，中国如何应对？	3
2020	无处不在的取舍：冷酷计算	https://nei.st/medium/economist/a-grim-calculus	新冠肺炎迫使人们在生、死和经济之间做出艰难选择——很可能会越来越难​​​	3
2020	证据不足不等于不存在	https://nei.st/medium/economist/absence-of-evidence-is-not-evidence-of-absence	新冠大流行中的隐性传染有多重要？​​​	3
2020	车险改革再启动	https://nei.st/medium/caixin/cw900e	六年来第四次改革，「商车费改」是否能彻底攻坚；监管希望步步细化各项规章，控制价格战，稳定市场，但险企自主定价空间不断缩小，市场化改革受制	3
2020	世界汽车业风险共振	https://nei.st/medium/caixin/cw898c	新冠疫情无差别碾压，汽车企业找不到「疫外之地」，全行业将共同经历艰难时刻	3
2020	卡车、长队和蓝调	https://nei.st/medium/economist/trucks-queues-and-blues	如果你之前认为贸易战对跨境贸易而言很糟糕……​​​	3
2020	上市银行遭疫情「大考」	https://nei.st/medium/caixin/cw899f	虽然安全垫较厚，但资产质量下滑、净利润承压已成定局；疫情之下，上市银行如何接招？	4
2020	新冠危机将是一个历史转折点	https://nei.st/medium/why-this-crisis-is-a-turning-point-in-history	但这种策略从未奏效，它将威胁民众生命，引发公愤，最终破坏政府信誉	4
2020	复盘美国新冠疫情：特朗普为何忽视警告、一错再错	https://nei.st/medium/nytimes/despite-timely-alerts-trump-was-slow-to-act	特朗普曾不断被警告可能暴发大流行病，但政府的分歧、缺乏计划和执行失败，以及他对自己直觉的盲信，都导致了疫情应对的失败	4
2020	特朗普做错了什么？	https://nei.st/medium/washington-post/the-u-s-was-beset-by-denial-and-dysfunction-as-the-coronavirus-raged	从椭圆形办公室到疾病预防控制中心，政治和体制上的失败遍及整个系统，失去了减轻大流行的机会	4
2020	特朗普的关键时刻	https://nei.st/medium/bloomberg/coronavirus-hits-at-the-worst-possible-time-for-trumps-reelection	新型冠状病毒疫情重创经济之时，正值选民传统上对现任总统的表现打分之际	4
2020	特朗普王朝的继承之战	https://nei.st/medium/atlantic/succession	伊万卡一直是特朗普的最爱，但是小唐正逐渐成为他的自然继任者	4
2020	检测的证词	https://nei.st/medium/economist/testings-testimony	应当如何恰当地使用针对新型冠状病毒的抗体检测	4
2020	当「三桶油」遇上低油价	https://nei.st/medium/caixin/cw900c	三大巨型石油央企正在经历前所未有的挑战。国际原油价格暴跌，类似潮水退去，高成本、低效率以及政策掣肘均显露无遗	4
2020	低油价飓风横扫全球	https://nei.st/medium/caixin/cw898f	低油价飓风来袭，全球原油产业链剧变：大型油轮价格暴涨，全球油罐遭疯抢；沙特、俄罗斯、美国等产油大国的市场份额正在发生改变；全球油企不得不「勒紧裤腰带」	4
2020	平板处方	https://nei.st/medium/economist/prescribing-tablets	芬兰人用科技协助病弱老人在家生活​​​	4
2020	楼市调控何处去	https://nei.st/medium/caixin/cw899e	如果简单沿用过去放货币、加杠杆的方式，对经济已无积极意义，反而积累债务风险	5
2020	从武汉到华盛顿，美国收到「哨声」的一百天	https://nei.st/medium/initium/from-wuhan-to-washington-the-united-states-covid19	从两国疾控中心的第一通关于新型冠状病毒的电话开始，美国的应对出现了哪些问题？这期间，中国和美国又有著怎样的较量？	5
2020	致命差错	https://nei.st/medium/economist/fatal-flaws	新冠肺炎的实际死亡人数似乎高于官方数据​​​	5
2020	新冠击中「大苹果」	https://nei.st/medium/caixin/cw898d	纽约的人口高密度给疫情防控制造了难题。近 2000 万人如何防疫？生活何时能恢复正常？	5
2020	安联：高处不胜寒	https://nei.st/medium/economist/allianz-lonely-work	欧洲最大保险公司的老板应对市场动荡​​​	5
2020	你暂时被炒了!	https://nei.st/medium/economist/schumpeter/youre-furloughed	在当前的危机中，一向热衷裁员的美国公司是否应该变得更欧洲化？​​​	5
2020	场边淘金	https://nei.st/medium/economist/hoarding-cash	广告人有个巧妙的新方法迷惑体育迷​​​	5
2020	防疫物资出海难	https://nei.st/medium/caixin/cw899b	中国作为「世界工厂」正为全球新冠防疫战开足马力生产，但从驰援武汉到转战海外，战线拉得更长，需要磨合的困难更多	5
2020	防守无症状感染	https://nei.st/medium/caixin/cw898a	对无症状感染者的影响认识有别，各国应对策略和结果迥异，此前数月的防控经验和研究对传播风险已有明确提示	5
2020	报复性消费会不会来？新基建能拯救经济低迷吗？	https://nei.st/medium/initium/luming-interview-consumption	专访陆铭	5
2020	如何理解瘟疫	https://nei.st/medium/economist/how-to-understand-a-plague	通过五本科学和历史书理解新冠疫情​​​	6
2020	救治新冠婴儿	https://nei.st/medium/caixin/cw898b	婴幼儿感染的预防、诊断和治疗存在诸多误区和难点，中国早期救治案例为全球提供了宝贵经验	6
2020	看得见，听得到	https://nei.st/medium/economist/visible-and-vocal	在疫病大流行期间，送货上门服务在中国发挥了至关重要的作用。他们由新一类工人提供​​​	6
2020	谷底反弹	https://nei.st/medium/economist/free-exchange/from-v-to-victory	经济体能从 GDP 暴跌中迅速复苏——但并非总能如此​​​	6
2020	票价游戏	https://nei.st/medium/economist/fare-play	空客想要帮助航空公司对冲机票价格。行得通吗？​​​	6
2020	他们打满全场	https://nei.st/medium/caixin/cw900a	在一群精英医生带领下，武大中南医院于遭遇战及早预警，于相持战接管定点医院和最大方舱，于决战主持雷神山医院，以专业精神从头打到尾，并为避免下次公共卫生危机提供启示	6
2020	任志强的身后，是牢门还是欢呼？	https://nei.st/medium/initium/opinion-renzhiqiang-arrested	接下来的，是所有人的政治	6
2020	代谢物与你：海量化学物质	https://nei.st/medium/economist/shed-loads-of-chemicals	你的分子「尾流」可能会泄露你的秘密​​​	6
2020	奢侈废品：非特卖品	https://nei.st/medium/economist/luxury-cast-offs-not-for-sale	奢侈品集团思索清空库存的方法​​​	6
2020	大功告成	https://nei.st/medium/economist/mission-accomplished	华尔街最著名的老板该收工了吗？​​​	6
2020	特别国债重出江湖	https://nei.st/medium/caixin/cw899a	为应对疫情冲击，中国财政三箭齐发，财政赤字、特别国债、地方专项债券各自承担什么功能？特别国债特在何处？	7
2020	挺过贸易战和国内疫情，这些工厂却倒在欧美疫情下	https://nei.st/medium/initium/coronavirus-chinese-factory	全球疫情和中美贸易战，是急性病和慢性病的区别：一个来得快，看谁身体好能熬到天亮；另一个要慢慢治疗，不停调整	7
2020	获奖者是……	https://nei.st/medium/economist/special-report/and-the-winner-is	数据将使世界变得更富生产力。但谁会受益呢？​​​	7
2020	虚拟民族主义	https://nei.st/medium/economist/special-report/virtual-nationalism	政府如何在镜像世界中设立边境墙​​​	7
2020	民主的「至暗时刻」，催生了一个更自信还是更焦虑的中国？	https://nei.st/medium/initium/opinion-democracy-vs-authoritarianism	中国模式必须是优越的，中国模式「输不起」，这样的焦虑和紧绷将持续地为危机埋下种子，但也将持续地制造信心来原谅危机、遗忘危机	7
2020	新 AI 组装线	https://nei.st/medium/economist/special-report/the-new-ai-ssembly-line	整合数据越来越困难，但也越来越重要​​​	7
2020	铺开	https://nei.st/medium/economist/special-report/spreading-out	数据处理应该在中心还是边缘进行？​​​	7
2020	NBA 停赛满月：「吵杂的美国之声」何时再响？	https://nei.st/medium/initium/nba-suspension	这一个月来，美国文化失去了一项「常数」、一道习以为常的背景音。这标志着疫情对「美式生活」的影响，已经深入根本	7
2020	数字复数	https://nei.st/medium/economist/special-report/digital-plurality	数据是更像石油还是更像阳光？​​​	7
2020	镜像世界	https://nei.st/medium/economist/special-report/mirror-worlds	数据的洪流正在催生一种新经济。记者路德维格·西格勒探究它将如何运作​​​	7
2020	台湾「以疫谋独」吗？疫情中茁壮的健保共同体	https://nei.st/medium/initium/taiwan-epidemic-nationalism	历经 WHO 风波、口罩外交与数起环绕着「全民健保」而生的争议，让台湾共同体在疫情之中反覆确认边界，并再次对中华民国遗留的体制表达困惑与质疑	8
2020	一带：收紧一节	https://nei.st/medium/economist/tighten-up-a-notch	中国在「一带」沿线的投资并不总是顺利​​​	8
2020	一路：放长线	https://nei.st/medium/economist/a-long-game	在海上，商业和战略很难分开​​​	8
2020	一带一路障	https://nei.st/medium/economist/belt-and-roadblock	印尼希望按自己的方式和中国打交道	8
2020	一场宣传拉锯战：中国的新冠疫情叙事能成功吗？	https://nei.st/medium/nytimes/china-citing-fewer-cases-tries-to-rewrite-its-role-in-crisis	历史是由胜利者书写的，在新冠病毒暴发这件事上也不例外	8
2020	An Unimaginable Toll	https://nei.st/medium/atlantic/an-unimaginable-toll	Please get it online	8
2020	美国允许谷歌启动海底网络光缆，前提是排除香港	https://nei.st/medium/wsj/u-s-allows-google-internet-project-to-advance-only-if-hong-kong-is-cut-out	理由是存在国家安全隐患。这项决定凸显出美中之间越来越紧张的关系	8
2020	机器政治——互联网崛起与集权新世纪	https://nei.st/medium/harpers/machine-politics	但这种策略从未奏效，它将威胁民众生命，引发公愤，最终破坏政府信誉	8
2020	带我去见老大	https://nei.st/medium/economist/take-me-to-a-leader	猎头这个行当前所未有地强大，但其提供的价值仍难以衡量​​​	8
2020	社交网络：友好的肖像画	https://nei.st/medium/economist/a-friendly-portrait	一位记者从内部观察了 Facebook 的崛起​​​	8
2020	蓝色狂想曲	https://nei.st/medium/economist/rhapsody-in-blue	美国牛仔服饰如何征服世界	9
2020	中国武汉解封，但抗疫战斗远未结束	https://nei.st/medium/wsj/fear-lingers-in-wuhan-as-china-eases-lockdown	中共官方报纸《人民日报》旗下刊物《健康时报》周一称，武汉无症状感染者或有 1 万至 2 万人。这篇报道在网上很快被删除	9
2020	病毒后经济：复工	https://nei.st/medium/economist/back-to-work	但并未复常​​​	9
2020	中国大亨任志强遭中共调查，曾发文批评习近平处理疫情做法	https://nei.st/medium/wsj/chinese-mogul-faces-probe-for-essay-critical-of-president-xis-coronavirus-handling	中共官员表示，任志强涉嫌「严重违纪违法」，这是当局经常用来指代腐败和其他权力滥用的委婉说法	9
2020	通用电气之困	https://nei.st/medium/wsj/ge-powered-the-american-century-then-it-burned-out	一家定义了「美国时代」的公司如何走向没落	9
2020	具有中国特色的 MBA	https://nei.st/medium/economist/mbas-with-chinese-characteristics	中国的商学院正在蓬勃发展，这要归功于中西方特质的融合​​​	9
2020	杰克·韦尔奇：工业界舵手	https://nei.st/medium/economist/jack-welch-captain-of-industry	GE 前老板改变了美国资本主义——好坏兼而有之​​​	9
2020	covid-19 病毒：解剖杀手	https://nei.st/medium/economist/anatomy-of-a-killer	SARS-COV-2 如何导致了 2019 冠状病毒病，以及如何可能阻止它​​​	9
2020	肿瘤测绘	https://nei.st/medium/economist/the-topography-of-tumours	迄今最全面的癌症基因图谱表明，要攻克癌症困难重重​​​	9
2020	还不够快	https://nei.st/medium/wsj/scientists-rush-to-find-coronavirus-cure-but-it-still-isnt-fast-enough	科学家们正在以创纪录的速度调动各种力量，研发针对新冠病毒的治疗方法或疫苗。但新冠病毒的传播速度似乎更快	9
2020	经济告急：实验性治疗	https://nei.st/medium/economist/experimental-treatment	各国政府正花费巨资并祭出新招，以防世界经济陷入危险的困境​​​	10
2020	焦土战	https://nei.st/medium/economist/scorched-earth	石油价格战没有赢家​​​	10
2020	停摆	https://nei.st/medium/economist/the-pandemic-closed	救命也要救经济，这将带来十分痛苦的抉择​​​	10
2020	数字背后的面孔	https://nei.st/medium/economist/chaguan/putting-faces-to-the-numbers	现在是敏感时期，共产党领导人要求新闻报道要充满「正能量」​​​	10
2020	病毒大屠杀	https://nei.st/medium/economist/covid-carnage	全球大部分商业活动都按下了暂停键。有些公司永远不会重启​​​	10
2020	全球瘟疫：走向世界	https://nei.st/medium/economist/going-global	世卫组织上周对中国的做法赞不绝口。但这并不意味着中国的做法是世界其他地区的模板​​​	10
2020	中国真实死亡人数遭质疑，武汉新冠逝者被悄声埋葬	https://nei.st/medium/nytimes/survivors-fume-as-china-insists-on-quiet-burials	无论专制制度制定的疫情应对措施能够提供的优势有多大，当铁腕领导人选择拒绝威胁存在或提供不一样的叙事时，专制的真正危险就显现出来了	10
2020	大卫·哈维：2019 冠状病毒时期的反资本主义政治	https://nei.st/medium/initium/david-harvey-anti-capitalist-politics-in-the-time-of-covid-19	如果只有社会主义政策对如今的世界才有效，那么毫无疑问，寡头统治者会确保其成为国家社会主义，而不是人民社会主义。而反资本主义政治的任务就是防止这样的事情发生	10
2020	面对疫情，专制比民主更有优势？	https://nei.st/medium/nytimes/the-virus-comes-for-democracy	无论专制制度制定的疫情应对措施能够提供的优势有多大，当铁腕领导人选择拒绝威胁存在或提供不一样的叙事时，专制的真正危险就显现出来了	10
2020	疫区爱欲自述：大瘟疫时代的约炮	https://nei.st/medium/initium/culture-sex-in-covid	病毒自然不可能被你的高潮所吓倒。但我们大部分人可以感受到，欲望被缓解时的心理舒畅，这才是很多人隔离期间所需要的吧	10
2020	从改革「罢工」到共同利益	https://nei.st/medium/caixin/cnreform-ldhkqhzl_tbll5erdwv	岁末年初，法国退休改革引发近半个世纪来最大规模罢工。2019 年，多国动议引发游行，大国保护主义亦未平息。何以跨越从「一己优先」到共同利益的鸿沟	11
2020	以深化改革应对公共卫生安全严峻挑战	https://nei.st/medium/caixin/cnreform-fcq1lfnul55uj	新冠疫情使中国付出了巨大的代价	11
2020	为什么西方国家的医学专家和政策都不鼓励民众戴口罩？	https://nei.st/medium/initium/opinion-face-mask-east-west-perspectives	我希望这篇文章能为读者提供多一个角度，理解对方的观点，明白问题背后不单纯是种族、文化和知识水平差异，也有很多政治、社会的考量	11
2020	人类能否再现 1954 年索尔克疫苗试验的奇迹？	https://nei.st/medium/initium/opinion-science-covid-19	疫苗、特效药、群体免疫、被动免疫，为何救命难？	11
2020	人们是怎么度过 1918 年的疫情的	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a6	历史不一定会重演，它只是踏着相同的节奏而来	11
2020	拆解安邦	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a4	这一过程中，监管机构与司法部门展开了「一手抓经营稳定，一手抓刑事侦查」的高效配合	11
2020	虚拟偶像开始仿真了	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a5	当依赖粉丝经济的真人偶像产业越来越容易陷入危机，部分从业者已将目光转向虚拟偶像	11
2020	美国「社会主义」的说服力	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a7	罗宾逊将自己定义为「自由意志社会主义者」，在反对资本主义的同时，也对国家权力怀有敌意，主张权力去中心化。他将「自由意志社会主义」的传统上溯到 19 世纪的无政府主义社会主义，其代表人物是蒲鲁东和巴枯宁	11
2020	中国工厂，薛定谔的重启	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a1	一场疫情让所有人意识到，世界还是那么平	11
2020	携程压力测试	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a2	对旅游产业来说，随时应对黑天鹅事件是一项基本能力，但 2020 年新冠疫情的出现，却是一场极限挑战	11
2020	美团卖菜	https://nei.st/medium/yimag/uapiyb9myocwsonvgb07a3	一场疫情，让「菜」的战略地位在美团内部得到前所未有的提升	12
2020	CIA 称中国官方疫情数据严重失实	https://nei.st/medium/nytimes/cia-seeks-to-verify-virus-totals-in-china-dismissing-official-tallies	美国情报机构已经得出的结论是，中国政府自己也不知道该病毒的规模，和世界其他国家一样盲目	12
2020	敢问市场去向何方，华尔街大鳄如是说	https://nei.st/medium/wsj/where-markets-go-from-here-wall-streets-biggest-names-weigh-in	作为华尔街顶尖投资家，他们应对过市场的暴跌与低迷，以及自然灾害和恐怖袭击等带来的影响。新冠冲击之下，他们就市场的下一步走向和应对方法，给投资者提出了一些建议	12
2020	为什么全球经济可能陷入长期衰退	https://nei.st/medium/nytimes/economists-fear-drawn-out-slump-as-losses-deepen	随着损失加深，经济学家担心陷入困境的低迷	12
2020	疫情阴影下的中美脱钩前景——有所缓和还是加速分离？	https://nei.st/medium/initium/opinion-economy-us-china-future	在疫情的放大镜下，我们看到的是一对奇怪的连体婴儿，各自要往不同的方向走。或转圜，或恶化，两个可能性截然相反，但理由同样充分	12
2020	中国借抗疫援助宣示全球领导地位	https://nei.st/medium/wsj/china-asserts-claim-to-global-leadership-mask-by-mask	中国政府正展开一项宏大行动，精心编写有关抗击新冠疫情的叙事，并将中国塑造成全球救星	12
2020	历史上的六次灾难给我们应对新冠危机的启示	https://nei.st/medium/wsj/lessons-for-the-coronavirus-crisis-from-six-other-disasters	从西班牙流感到日本海啸，每当灾难降临，各国政府总是竭力在公共卫生与经济稳定之间加以权衡。灾难发生之初，决策者的反应往往不尽如人意，而灾难往往会永久性地改变人们的习惯	12
2020	美股遭遇 2008 年以来最惨痛的一个季度	https://nei.st/medium/wsj/stocks-suffer-worst-quarter-since-2008	美国历史上最长的牛市戛然而止，跌幅如此之大，以至于过去很少被使用的熔断机制多次被股票交易所启动	12
2020	华为警告美国：中国政府不会袖手旁观	https://nei.st/medium/wsj/huawei-warns-u-s-of-retaliation-by-beijing-profit-growth-slows	华为警告美国可能遭到中国政府反制	12
2020	复盘新冠疫情：中国传染病预警系统为何失灵	https://nei.st/medium/nytimes/china-had-a-fail-safe-way-to-track-contagions-officials-failed-to-use-it	如今，对医生、医学专家和官员的采访、泄露的政府文件，以及中国媒体的调查，都揭示了政府的严重过失：一个旨在保护医疗专业知识和感染报告不受政治干预的系统，是如何屈从于干预的	12
2020	走进不招待普通话的餐厅：对话，痛苦与身份的挣扎	https://nei.st/medium/initium/hongkong-restaurants-no-mandarin-dialogue-anger	数名港漂走进了光荣冰室，一场行动，数篇文章，撕开了关于语言、权力、身份的争论裂口。经历行动的，参与公共讨论的，明确表示「不招待普通话人士」的，所思所感到底是什么？	13
2020	中国疾控人员口述：90% 的人闲着，10% 的人干活，还不知道要干啥	https://nei.st/medium/initium/mainland-coronavirus-cdc-staff	国内疫情都快结束了，我们每个小分队才刚刚明确成员名单；防控的 60 天里，这个所谓的「应急小分队」没有出动过一次	13
2020	North Dakota: Images of the Peace Garden State	https://nei.st/medium/atlantic/north-dakota-images-of-the-peace-garden-state	Please get it online	13
2020	金融危机来了吗？	https://nei.st/medium/caixin/cw897j	美股两周四次熔断，指数跌去 30%，股债双杀，流动性枯竭，波及全球金融市场	13
2020	再融资「大撒把」之后	https://nei.st/medium/caixin/cw897k	监管时松时紧的政策调整难以让市场发挥约束作用，需要从信息披露、融资渠道、市场监督、司法介入等方面全面配合	13
2020	香港楼市「逆行」多久	https://nei.st/medium/caixin/cw897l	疫情下香港楼市成交活跃，「戴着口罩买房」 成为这座城市中独特的景观	13
2020	养蜂人在春天离去	https://nei.st/medium/caixin/cw896i	养蜂人刘德成用一根麻绳结束了自己年仅 45 岁的生命。自新冠疫情暴发，交通中断，大量蜂农无法转场追花逐蜜，损失惨重	13
2020	浅析新冠疫情的经济影响	https://nei.st/medium/caixin/cnreform-4ux64_91xg5hvkcchdsngw	本次疫情对中国经济的冲击主要集中在一季度 (预计影响在 2-3 个百分点)，全年 GDP 受到小幅影响 (预计影响在 0.5 个百分点左右)。线上业态、智能制造等领域有望获得发展契机	13
2020	世界在他们脚下	https://nei.st/medium/caixin/cw897p	上世纪 30 年代，一场未见硝烟、没有明确规则、没有起点只有终点的大国之战悄然开启，荣耀不是奖杯，而是地球之巅	13
2020	全球航空大断流	https://nei.st/medium/caixin/cw897n	因疫情蔓延全球，全球各大航空公司均遭遇史上最严重禁航影响，进而波及飞机制造公司；这些重资产、高杠杆的巨无霸前景岌岌可危	13
2020	国门线上的抗疫战	https://nei.st/medium/caixin/cw897m	伴随着全球疫情大暴发，中国境外输入案例络绎不绝，北京、上海和诸多侨乡进入「二次抗疫」	14
2020	武汉复工进行时	https://nei.st/medium/caixin/cw897o	武汉企业复产，需突破员工到岗困难和上游原材料、零部件供应难；为扶持中小企业主发布的「湖北 30 条」亟待落地细则	14
2020	《自然》发表管轶团队研究 称穿山甲应为新冠可能宿主	https://nei.st/medium/caixin/osyntecndosbfimfpgfguq	受体结合域相似度 97%；但不排除这样一种可能，即穿山甲是独立于蝙蝠或其他动物宿主，而感染了和新冠病毒相似的病毒	14
2020	确诊名单外的武汉医护人员	https://nei.st/medium/caixin/tc56mkqkm5upoci2i0w	早期有感染症状的医护人员，因没做核酸检测或核酸检测呈阴性，又错过依据 CT 影像学特征就能列入「临床诊断」病例从而确诊的窗口期，目前他们中一部分尽管抗体检测双阳或 IgG 单阳，但尚未列入确诊，从而获得相应补助和资助	14
2020	韩国做对了什么	https://nei.st/medium/caixin/cw897b	没有封城，经济未停摆，传染源有效隔离，重症挤兑及时消解，病死率较低，但仍需准备长期战疫	14
2020	广东：以非典打新冠	https://nei.st/medium/caixin/cw897d	吸取非典应对的沉重教训，在新冠面前，广东选择了高度警惕，快速反应，重视风险	14
2020	隔离点、违建与 29 条命	https://nei.st/medium/caixin/cw897c	用作新冠疫情隔离点的酒店轰然倒下，带走了 29 个生命，也揭开了泉州违法建设的冰山一角	14
2020	意大利：一切都会好起来的	https://nei.st/medium/caixin/cw897i	很多意大利小朋友在白纸上画一道彩虹，然后把这些画发到脸书和各种社交媒体上，为意大利人打气	14
2020	英国：「群体免疫」迷思	https://nei.st/medium/caixin/cw897g	活动可以取消，旅行可以取消，但是还有很多东西不会	14
2020	法国：请暂时放下浪漫	https://nei.st/medium/caixin/cw897h	在多层面且信息量很大的疫情新闻中，每个人都只听到了自己想听到的，理解了自己想理解的，做了自己想做的，正如恺撒对人性的分析	14
2020	德国：两周时间，是长还是短	https://nei.st/medium/caixin/cw897f	从每个人跟自己习惯的生活方式告别，到联邦政府跟各个州协商步调，从国库中盘点好应激的欧元，再到按下部分停摆键，对小政府大社会来说，这是一个超高速的反应	15
2020	欧洲暂停	https://nei.st/medium/caixin/cw897e	疫情逼迫欧洲给许多熟悉的东西按下暂停键	15
2020	中国开始复工复产，但复苏似乎缓慢而艰难	https://nei.st/medium/wsj/china-is-open-for-business-but-the-postcoronavirus-reboot-looks-slow-and-rocky	经济学家预计，未来还将有更多坏消息	15
2020	疫情之下现金为王，美国最大公司也不例外	https://nei.st/medium/wsj/coronavirus-shows-cash-is-king-even-for-biggest-u-s-companies	就算苹果公司不再销售一部 iPhone 或 Mac 电脑，也可以在继续生产产品的同时维持运行 492 天	15
2020	美国新冠确诊病例数超过中国	https://nei.st/medium/wsj/u-s-coronavirus-cases-surpass-those-of-china-italy	专家表示，整体封锁是不够的。真正扭转疫情局面的是 2 月 2 日之后采取的更积极、更系统化的隔离机制，包括将疑似或轻症患者送往方舱医院和临时隔离点	15
2020	中国扭转疫情的最严厉举措，尚未被西方国家采用	https://nei.st/medium/wsj/chinas-progress-against-coronavirus-used-draconian-tactics-not-deployed-in-the-west	专家表示，整体封锁是不够的。真正扭转疫情局面的是 2 月 2 日之后采取的更积极、更系统化的隔离机制，包括将疑似或轻症患者送往方舱医院和临时隔离点	15
2020	意大利医院崩溃的教训：每错过一天，疫情就严重一点	https://nei.st/medium/wsj/lessons-from-italys-hospital-meltdown-every-day-you-lose-the-contagion-gets-worse	新冠病毒正把意大利拥有高科技医疗条件的富裕地区推向一场人道主义灾难	15
2020	白捡钱都不要？市场是真恐慌了	https://nei.st/medium/bloomberg/refusing-free-money-is-a-sign-of-fear	基差互换是外汇市场的一个神秘角落	15
2020	美联储首次真的转变成了一家商业银行	https://nei.st/medium/wsj/fed-unveils-major-expansion-of-market-intervention	美联储周一暗示，为帮助美国经济赢得与时间的赛跑，美联储将采取几乎任何举措，包括向各类大小企业发放贷款、无限量购买国债等	15
2020	新冠疫情加剧美中分歧与对抗	https://nei.st/medium/nytimes/confrontation-is-winning-out-over-cooperation-in-face-of-a-pandemic	本应联手消除病毒、挽救全球经济之际，美中关系恶化到新低	15
2020	美国海军陆战队计划转型以应对中国威胁	https://nei.st/medium/wsj/marines-plan-to-retool-to-meet-china-threat	五角大楼预测美国将迎来一个与中国和俄罗斯竞争加剧的时代，并计划为此投入成百上千亿美元	16
